1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,Station Name,State,Average for 1980-2011,lon,lat
41.9,98.8,72.9,95.2,50.8,50.8,99.9,98.8,38.3,70.2,40.1,44.5,112.6,94.2,34,156.1,106.7,58.5,60.5,44.5,119,62.6,122.8,80.5,105,77,58.5,102,77.3,75.4,79,ASHFIELD,MA,78.3,-72.851,42.513
53.3,97.1,73.1,85.1,53.3,49,119.3,81.4,34.5,65.6,39.7,39,118.2,91.3,30.6,145.7,94,63.8,46.6,46,117.6,57.4,110.9,63.2,94.6,58.6,47.9,92.2,83.7,77.5,66.5,ASHBURNHAM,MA,74.1,-71.916,42.618
53,116.7,56.2,85.7,72.6,88.5,115,86,52.1,94.8,53.9,55.5,108.3,102.3,50.4,110.5,118.7,90.3,74.1,72.2,110.6,65.8,127.1,69.8,94.3,54.5,79.4,111.2,96.4,66.3,79.6,CAVENDISH,VT,84.3,-72.599,43.385
83.4,93.7,81.6,79.6,79.2,76.2,72.2,82.1,47.8,78.2,48.2,48.8,83.9,104.3,50.6,118.2,100.6,85.7,74,77.3,130.2,52.7,136,112,84.9,78.7,96.8,100.9,93.1,85.8,88.4,CHITTENDEN,VT,84.7,-72.962,43.706
64.7,81.5,80.5,64.5,91.4,86.2,67.7,64.4,40.4,76.7,42.5,79.2,116.8,107.2,60.5,100,95,93.9,70.7,76.4,122.4,56.2,83,94.7,89.7,70.4,94.6,120.2,91.4,96.5,98.5,BURLINGTON WSO AP,VT,83.2,-73.15,44.468
34.2,80.6,42.7,67.2,34.4,36.9,65.4,55.2,25.9,52.7,26,32.4,108.1,73.5,30.6,110.1,58.1,39,44,30.9,92,41.6,98.7,37.9,103.4,57.3,54,93.6,104.1,44.7,91.3,GREENLAND,NH,60.2,-70.833,43.017
52.4,105.1,61.9,83.6,75,83.5,96.1,69,61.7,85.1,58.9,67.7,96.3,90.2,63.4,114.7,103.5,85.5,80.6,72.4,106.6,64.1,77.2,69,76,47.9,81.7,147,109.6,52.6,66.1,NORTH CONWAY,NH,80.8,-71.138,44.03
38.8,85.3,45.3,70.6,51.8,51.3,78.4,62.3,30.9,69.8,32.4,58.6,115.6,76.2,38.6,102,43.3,54.5,53.5,41.1,99.3,32.6,63.9,46.7,102.1,47.2,54.9,103,81.1,37.1,69.3,PORTLAND JETPORT,ME,62.5,-70.3,43.65
73.4,92.8,50.7,73.2,57.3,60.1,95.1,81.7,56.7,83.6,41.3,62.1,101.6,75.7,45.3,137.1,55.6,64.1,60.6,52,108.3,55.4,57.7,53.1,92,47.2,62.2,118.9,87.6,63.8,115.2,NEWCASTLE,ME,73.6,-69.537,44.046
43,106,54,68,80.1,79,90,82,66,93,59,69,123,95,75.5,133,98,71.3,78,62.3,144.5,80.5,68.9,87.4,94.9,51.6,102.8,138.2,106.5,57.6,75.2,FARMINGTON,ME,84.9,-70.157,44.689
42.9,101.3,46.2,69.7,61.6,63.5,82.1,73.5,63.9,82.6,52.6,74.8,86.6,86.3,51.5,115.1,64.4,69.3,72.6,50,96.7,66.7,52.1,62.3,60.3,36.6,67.4,116,75.1,56.5,69,CORINNA,ME,70,-69.242,44.92
72.8,164.9,75.4,106.6,91,93.1,131.8,99.8,87.6,119.2,86.4,62.8,120.7,124.8,78.4,194.2,138.7,113.2,108.8,118.5,172.4,126,80.5,127.1,116.9,111.7,109.7,170.8,109.7,104,139.9,RANGELEY 2 NW,ME,114.8,-70.672,44.989
63.1,139.3,74.7,113.1,82.4,90,108.8,105,81.3,120.8,81.1,76,104.9,112,76.4,168.3,133.4,121.3,75.2,93.3,145.5,91.4,81.5,90.4,117.8,81.5,113.9,154.2,94.5,73.4,114.5,BRASSUA DAM,ME,102.5,-69.812,45.66
